date,vwretd
2008-09-26,-0.001974
2008-09-29,-0.082622
2008-09-30,0.04663
2008-10-01,-0.005703
2008-10-02,-0.045669
2008-10-03,-0.01431
2008-10-06,-0.042386
2008-10-07,-0.057971
2008-10-08,-0.011662
2008-10-09,-0.072777
2008-10-10,-0.012027
2008-10-13,0.114918
2008-10-14,-0.009039
2008-10-15,-0.089818
2008-10-16,0.03964
2008-10-17,-0.002514
2008-10-20,0.046511
2008-10-21,-0.031528
2008-10-22,-0.059158
2008-10-23,0.000863
2008-10-24,-0.033427
2008-10-27,-0.036965
2008-10-28,0.095343
2008-10-29,0.001444
2008-10-30,0.031975
2008-10-31,0.018105
2008-11-03,-0.000641
2008-11-04,0.039047
2008-11-05,-0.050732
2008-11-06,-0.049131
2008-11-07,0.026437
2008-11-10,-0.013354
2008-11-11,-0.024377
2008-11-12,-0.053638
2008-11-13,0.068028
2008-11-14,-0.043682
2008-11-17,-0.023999
2008-11-18,0.005702
2008-11-19,-0.063961
2008-11-20,-0.070116
2008-11-21,0.061122
2008-11-24,0.066174
2008-11-25,0.009671
2008-11-26,0.038407
2008-11-28,0.0101
2008-12-01,-0.089406
2008-12-02,0.037723
2008-12-03,0.024009
2008-12-04,-0.030146
2008-12-05,0.03615
2008-12-08,0.040442
2008-12-09,-0.022388
2008-12-10,0.015166
2008-12-11,-0.029891
2008-12-12,0.01048
2008-12-15,-0.013872
2008-12-16,0.052898
2008-12-17,-0.004826
2008-12-18,-0.020525
2008-12-19,0.003924
2008-12-22,-0.019157
2008-12-23,-0.007592
2008-12-24,0.004521
2008-12-26,0.007194
2008-12-29,-0.00436
2008-12-30,0.024798
2008-12-31,0.017414
2009-01-02,0.03051
2009-01-05,-0.0006
2009-01-06,0.011304
2009-01-07,-0.030514
2009-01-08,0.00628
2009-01-09,-0.022413
2009-01-12,-0.025568
2009-01-13,0.003519
2009-01-14,-0.035213
2009-01-15,0.004642
2009-01-16,0.008418
2009-01-20,-0.055325
2009-01-21,0.04323
2009-01-22,-0.018234
2009-01-23,0.00685
2009-01-26,0.006103
2009-01-27,0.011298
2009-01-28,0.033821
2009-01-29,-0.032865
2009-01-30,-0.020762
2009-02-02,-0.001062
2009-02-03,0.014347
2009-02-04,-0.004421
2009-02-05,0.015561
2009-02-06,0.027958
2009-02-09,0.001231
2009-02-10,-0.046016
2009-02-11,0.007331
2009-02-12,0.002613
2009-02-13,-0.008813
2009-02-17,-0.045276
2009-02-18,-0.003754
2009-02-19,-0.011181
2009-02-20,-0.011754
2009-02-23,-0.03617
2009-02-24,0.040235
2009-02-25,-0.010685
2009-02-26,-0.012138
2009-02-27,-0.019064
2009-03-02,-0.049821
2009-03-03,-0.006348
2009-03-04,0.025915
2009-03-05,-0.04186
2009-03-06,0.001621
2009-03-09,-0.011377
2009-03-10,0.063423
2009-03-11,0.004072
2009-03-12,0.041933
2009-03-13,0.006023
2009-03-16,-0.004804
2009-03-17,0.031034
2009-03-18,0.022385
2009-03-19,-0.008012
2009-03-20,-0.020275
2009-03-23,0.069105
2009-03-24,-0.019974
2009-03-25,0.009027
2009-03-26,0.025297
2009-03-27,-0.021626
2009-03-30,-0.03628
2009-03-31,0.014267
2009-04-01,0.01724
2009-04-02,0.031761
2009-04-03,0.011627
2009-04-06,-0.009808
2009-04-07,-0.024674
2009-04-08,0.013138
2009-04-09,0.039518
2009-04-13,0.003955
2009-04-14,-0.01952
2009-04-15,0.012453
2009-04-16,0.016079
2009-04-17,0.006012
2009-04-20,-0.044786
2009-04-21,0.0228
2009-04-22,-0.005681
2009-04-23,0.009211
2009-04-24,0.018978
2009-04-27,-0.011404
2009-04-28,-0.002835
2009-04-29,0.02454
2009-04-30,-0.00043
2009-05-01,0.005987
2009-05-04,0.035889
2009-05-05,-0.003448
2009-05-06,0.016053
2009-05-07,-0.015484
2009-05-08,0.027335
2009-05-11,-0.020759
2009-05-12,-0.002677
2009-05-13,-0.031176
2009-05-14,0.012419
2009-05-15,-0.01065
2009-05-18,0.033054
2009-05-19,0.000466
2009-05-20,-0.001755
2009-05-21,-0.016571
2009-05-22,-0.000103
2009-05-26,0.028135
2009-05-27,-0.017294
2009-05-28,0.015059
2009-05-29,0.01474
2009-06-01,0.027052
2009-06-02,0.003122
2009-06-03,-0.017238
2009-06-04,0.013645
2009-06-05,-0.003123
2009-06-08,-0.002646
2009-06-09,0.005508
2009-06-10,-0.002825
2009-06-11,0.00723
2009-06-12,-0.001361
2009-06-15,-0.025446
2009-06-16,-0.01313
2009-06-17,-0.003046
2009-06-18,0.006605
2009-06-19,0.004131
2009-06-22,-0.033191
2009-06-23,0.002281
2009-06-24,0.008957
2009-06-25,0.021607
2009-06-26,0.000918
2009-06-29,0.007681
2009-06-30,-0.007744
2009-07-01,0.006075
2009-07-02,-0.028164
2009-07-06,-0.001715
2009-07-07,-0.019566
2009-07-08,-0.003674
2009-07-09,0.004887
2009-07-10,-0.0034
2009-07-13,0.023959
2009-07-14,0.007242
2009-07-15,0.031167
2009-07-16,0.009462
2009-07-17,-0.0001
2009-07-20,0.013517
2009-07-21,0.002507
2009-07-22,0.000626
2009-07-23,0.024248
2009-07-24,0.004318
2009-07-27,0.003428
2009-07-28,-0.00376
2009-07-29,-0.006496
2009-07-30,0.013405
2009-07-31,0.002687
2009-08-03,0.017978
2009-08-04,0.002512
2009-08-05,-0.002058
2009-08-06,-0.0075
2009-08-07,0.013329
2009-08-10,-0.004378
2009-08-11,-0.013741
2009-08-12,0.012283
2009-08-13,0.008382
2009-08-14,-0.010026
2009-08-17,-0.026025
2009-08-18,0.012018
2009-08-19,0.006913
2009-08-20,0.010693
2009-08-21,0.018218
2009-08-24,-0.00086
2009-08-25,0.002744
2009-08-26,-0.000795
2009-08-27,0.00306
2009-08-28,-0.001408
2009-08-31,-0.009184
2009-09-01,-0.021972
2009-09-02,-0.002627
2009-09-03,0.010726
2009-09-04,0.014
2009-09-08,0.010437
2009-09-09,0.007804
2009-09-10,0.011127
2009-09-11,7.2e-05
2009-09-14,0.006409
2009-09-15,0.006161
2009-09-16,0.016251
2009-09-17,-0.003713
2009-09-18,0.001851
2009-09-21,-0.004265
2009-09-22,0.008567
2009-09-23,-0.010386
2009-09-24,-0.012689
2009-09-25,-0.006367
2009-09-28,0.01797
2009-09-29,-0.001059
2009-09-30,-0.002862
2009-10-01,-0.02711
2009-10-02,-0.00528
2009-10-05,0.016024
2009-10-06,0.014541
2009-10-07,0.003057
2009-10-08,0.009684
2009-10-09,0.00524
2009-10-12,0.003864
2009-10-13,-0.001931
2009-10-14,0.017853
2009-10-15,0.002388
2009-10-16,-0.008156
2009-10-19,0.009989
2009-10-20,-0.007955
2009-10-21,-0.008387
2009-10-22,0.010145
2009-10-23,-0.012745
2009-10-26,-0.013211
2009-10-27,-0.006312
2009-10-28,-0.023878
2009-10-29,0.023842
2009-10-30,-0.027998
2009-11-02,0.005094
2009-11-03,0.005758
2009-11-04,0.000887
2009-11-05,0.019376
2009-11-06,0.001559
2009-11-09,0.023285
2009-11-10,-0.000683
2009-11-11,0.005488
2009-11-12,-0.011725
2009-11-13,0.00683
2009-11-16,0.0156
2009-11-17,0.001234
2009-11-18,-0.000955
2009-11-19,-0.014033
2009-11-20,-0.003935
2009-11-23,0.012969
2009-11-24,-0.001315
2009-11-25,0.005831
2009-11-27,-0.018568
2009-11-30,0.003952
2009-12-01,0.014001
2009-12-02,0.00235
2009-12-03,-0.008827
2009-12-04,0.005376
2009-12-07,-0.001596
2009-12-08,-0.010591
2009-12-09,0.003547
2009-12-10,0.005297
2009-12-11,0.003164
2009-12-14,0.008485
2009-12-15,-0.004616
2009-12-16,0.003319
2009-12-17,-0.012564
2009-12-18,0.006076
2009-12-21,0.009765
2009-12-22,0.004612
2009-12-23,0.004734
2009-12-24,0.005243
2009-12-28,0.000985
2009-12-29,-0.000929
2009-12-30,-0.00067
2009-12-31,-0.008656
2010-01-04,0.017123
2010-01-05,0.003374
2010-01-06,0.002046
2010-01-07,0.00286
2010-01-08,0.004173
2010-01-11,0.001141
2010-01-12,-0.010995
2010-01-13,0.008636
2010-01-14,0.002307
2010-01-15,-0.011325
2010-01-19,0.012057
2010-01-20,-0.011076
2010-01-21,-0.017773
2010-01-22,-0.021001
2010-01-25,0.003901
2010-01-26,-0.004922
2010-01-27,0.004186
2010-01-28,-0.011333
2010-01-29,-0.010301
2010-02-01,0.015111
2010-02-02,0.012229
2010-02-03,-0.004982
2010-02-04,-0.031982
2010-02-05,0.002652
2010-02-08,-0.008235
2010-02-09,0.01388
2010-02-10,-0.001476
2010-02-11,0.012086
2010-02-12,-0.000652
2010-02-16,0.017979
2010-02-17,0.004659
2010-02-18,0.006192
2010-02-19,0.002459
2010-02-22,-0.001114
2010-02-23,-0.013085
2010-02-24,0.008534
2010-02-25,-0.000709
2010-02-26,0.001843
2010-03-01,0.011987
2010-03-02,0.004423
2010-03-03,0.001605
2010-03-04,0.0031
2010-03-05,0.014507
2010-03-08,0.000714
2010-03-09,0.001653
2010-03-10,0.005048
2010-03-11,0.003968
2010-03-12,0.000759
2010-03-15,-0.000684
2010-03-16,0.008745
2010-03-17,0.005613
2010-03-18,-0.002034
2010-03-19,-0.006911
2010-03-22,0.005863
2010-03-23,0.007665
2010-03-24,-0.006621
2010-03-25,-0.002437
2010-03-26,0.000678
2010-03-29,0.006797
2010-03-30,0.000458
